# Time-averaged data for fix pe_out
# TimeStep v_pot_energy
137600 -6.55546
137700 -6.5564
137800 -6.56925
137900 -6.56355
138000 -6.56435
138100 -6.56497
138200 -6.58673
138300 -6.56837
138400 -6.57697
138500 -6.54999
138600 -6.57382
138700 -6.59101
138800 -6.57355
138900 -6.58747
139000 -6.59491
139100 -6.58677
139200 -6.57903
139300 -6.58538
139400 -6.57618
139500 -6.58694
139600 -6.60737
139700 -6.5947
139800 -6.58955
139900 -6.58444
140000 -6.57356
140100 -6.60307
140200 -6.58839
140300 -6.59472
140400 -6.58954
140500 -6.58684
140600 -6.58023
140700 -6.59081
140800 -6.60524
140900 -6.5908
141000 -6.59182
141100 -6.59168
141200 -6.6018
141300 -6.60323
141400 -6.60379
141500 -6.59475
141600 -6.58827
141700 -6.56756
141800 -6.58022
141900 -6.59087
142000 -6.60398
142100 -6.60494
142200 -6.61278
142300 -6.61117
142400 -6.59486
142500 -6.59961
142600 -6.63267
142700 -6.61928
142800 -6.61439
142900 -6.60846
143000 -6.6002
143100 -6.60254
143200 -6.62338
143300 -6.6221
143400 -6.62359
143500 -6.62021
143600 -6.61424
143700 -6.61141
143800 -6.62588
143900 -6.62196
144000 -6.62315
144100 -6.61407
144200 -6.61646
144300 -6.62993
144400 -6.6389
144500 -6.63839
144600 -6.64334
144700 -6.62374
144800 -6.62987
144900 -6.63543
145000 -6.64132
145100 -6.63393
145200 -6.62846
145300 -6.61471
145400 -6.63715
145500 -6.63793
145600 -6.63853
145700 -6.63663
145800 -6.65043
145900 -6.64511
146000 -6.63518
146100 -6.64329
146200 -6.65102
146300 -6.63149
146400 -6.63254
146500 -6.64119
146600 -6.67625
146700 -6.66782
146800 -6.66021
146900 -6.64157
147000 -6.64361
147100 -6.63865
147200 -6.65787
147300 -6.66278
147400 -6.64067
147500 -6.65738
147600 -6.65083
147700 -6.64995
147800 -6.65268
147900 -6.66675
148000 -6.64978
148100 -6.63978
148200 -6.64386
148300 -6.65222
148400 -6.66462
148500 -6.64685
148600 -6.66706
148700 -6.65374
148800 -6.64294
148900 -6.65121
149000 -6.66634
149100 -6.67488
149200 -6.67708
149300 -6.65704
149400 -6.63615
149500 -6.64503
149600 -6.64793
149700 -6.67539
149800 -6.66785
149900 -6.66282
150000 -6.66853
150100 -6.65457
150200 -6.68138
150300 -6.67329
150400 -6.64675
150500 -6.66147
150600 -6.65854
150700 -6.67478
150800 -6.66675
150900 -6.64838
151000 -6.65545
151100 -6.6638
151200 -6.6689
151300 -6.66477
151400 -6.66207
151500 -6.64984
151600 -6.66601
151700 -6.65228
151800 -6.66241
151900 -6.66624
152000 -6.67855
152100 -6.67117
152200 -6.6578
152300 -6.66985
152400 -6.67633
152500 -6.66672
152600 -6.66401
152700 -6.66946
152800 -6.64926
152900 -6.67113
153000 -6.66645
153100 -6.66822
153200 -6.6547
153300 -6.66192
